GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI00208	LOCMI00208	Fatty acid-binding protein, muscle	LOCMI00208	Lipocalin/cytosolic fatty-acid binding protein:IPR000566	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI04395	LOCMI04395	MPA13-like protein	LOCMI04395	Lipocalin/cytosolic fatty-acid binding protein:IPR000566	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI00043	LOCMI00043	cellular retinoic acid binding protein	LOCMI00043	Lipocalin/cytosolic fatty-acid binding protein:IPR000566	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI02988	LOCMI02988	32 kDa apolipoprotein	LOCMI02988	Lipocalin/cytosolic fatty-acid binding protein:IPR000566	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI02243	LOCMI02243	tetraspanin 6	LOCMI02243	Tetraspanin, subgroup:IPR000301	Tetraspanin, subgroup:IPR000301
LOCMI02499	LOCMI02499	PREDICTED: CD63 antigen-like	LOCMI02499	Tetraspanin, subgroup:IPR000301	Tetraspanin, subgroup:IPR000301
LOCMI02477	LOCMI02477	PREDICTED: CD63 antigen-like	LOCMI02477	Tetraspanin, subgroup:IPR000301	Tetraspanin, subgroup:IPR000301
LOCMI02777	LOCMI02777	A7URL1_ANOGA AGAP007209-PB	LOCMI02777	Tetraspanin, subgroup:IPR000301	Tetraspanin, subgroup:IPR000301
LOCMI16691	LOCMI16691	D6WGJ2_TRICA Putative uncharacterized protein	LOCMI16691	Alpha/beta hydrolase fold-1:IPR000073	Alpha/beta hydrolase fold-1:IPR000073
LOCMI04987	LOCMI04987	Q7QH37_ANOGA AGAP003500-PA	LOCMI04987	Alpha/beta hydrolase fold-1:IPR000073	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11816	LOCMI11816	Q5TVS6_ANOGA AGAP003501-PA (Fragment)	LOCMI11816	Alpha/beta hydrolase fold-1:IPR000073	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11814	LOCMI11814	Q5TVS6_ANOGA AGAP003501-PA (Fragment)	LOCMI11814	Alpha/beta hydrolase fold-1:IPR000073	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11818	LOCMI11818	Q5TVS6_ANOGA AGAP003501-PA (Fragment)	LOCMI11818	Alpha/beta hydrolase fold-1:IPR000073	Alpha/beta hydrolase fold-1:IPR000073
LOCMI17120	LOCMI17120	Q7Q8D4_ANOGA AGAP008684-PA	LOCMI17120	Alpha/beta hydrolase fold-1:IPR000073	Alpha/beta hydrolase fold-1:IPR000073
LOCMI03125	LOCMI03125	GK14321	LOCMI03125	Glycoside hydrolase, family 31:IPR000322	Glycoside hydrolase, family 31:IPR000322
LOCMI03579	LOCMI03579	B9SV61_RICCO Alpha-glucosidase, putative	LOCMI03579	Glycoside hydrolase, family 31:IPR000322	Glycoside hydrolase, family 31:IPR000322
LOCMI08072	LOCMI08072	GF18086	LOCMI08072	Glycoside hydrolase, family 31:IPR000322	Glycoside hydrolase, family 31:IPR000322
LOCMI04397	LOCMI04397	GK14321	LOCMI04397	Glycoside hydrolase, family 31:IPR000322	Glycoside hydrolase, family 31:IPR000322
