GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI15907	LOCMI15907	Retinal dehydrogenase 1	2	0.2	LOCMI15907	Pyruvate metabolism:map00620 // Pentose and glucuronate interconversions:map00040
LOCMI15896	LOCMI15896	E3WQ18_ANODA Putative uncharacterized protein	2	0.2	LOCMI15896	Pyruvate metabolism:map00620 // Pentose and glucuronate interconversions:map00040
LOCMI15882	LOCMI15882	aldose reductase, putative	2	0.2	LOCMI15882	Pyruvate metabolism:map00620 // Pentose and glucuronate interconversions:map00040
LOCMI15493	LOCMI15493	ER protein gp78	2	0.2	LOCMI15493	Protein processing in endoplasmic reticulum:map04141 // Protein export:map03060
LOCMI15492	LOCMI15492	ER protein gp78	2	0.2	LOCMI15492	Protein processing in endoplasmic reticulum:map04141 // Protein export:map03060
LOCMI10612	LOCMI10612	RecName: Full=Protein transport protein Sec61 subunit gamma gb|AAP47228.1| Sec61p gamma subunit	2	0.2	LOCMI10612	Protein processing in endoplasmic reticulum:map04141 // Protein export:map03060
LOCMI03958	LOCMI03958	Q28WJ8_DROPS GA13505	2	0.2	LOCMI03958	Pentose and glucuronate interconversions:map00040 // Glycosaminoglycan degradation:map00531
LOCMI17354	LOCMI17354	heat shock protein 90	1	0.1	LOCMI17354	Protein processing in endoplasmic reticulum:map04141
LOCMI17330	LOCMI17330	Probable small nuclear ribonucleoprotein G	1	0.1	LOCMI17330	Spliceosome:map03040
LOCMI17317	LOCMI17317	PREDICTED: U6 snRNA-associated Sm-like protein LSm7	1	0.1	LOCMI17317	Spliceosome:map03040
LOCMI17308	LOCMI17308	Small nuclear ribonucleoprotein F	1	0.1	LOCMI17308	Spliceosome:map03040
LOCMI17279	LOCMI17279	zinc finger protein matrin type, putative	1	0.1	LOCMI17279	Spliceosome:map03040
LOCMI17261	LOCMI17261	Probable U2 small nuclear ribonucleoprotein A'	1	0.1	LOCMI17261	Spliceosome:map03040
LOCMI17239	LOCMI17239	peptidyl-prolyl cis-trans isomerase	1	0.1	LOCMI17239	Spliceosome:map03040
LOCMI17234	LOCMI17234	membrane-associated protein, putative	1	0.1	LOCMI17234	Spliceosome:map03040
LOCMI17202	LOCMI17202	C4WXB0_ACYPI ACYPI009324 protein	1	0.1	LOCMI17202	Spliceosome:map03040
LOCMI17197	LOCMI17197	PREDICTED: protein mago nashi	1	0.1	LOCMI17197	Spliceosome:map03040
LOCMI17142	LOCMI17142	Small nuclear ribonucleoprotein F	1	0.1	LOCMI17142	Spliceosome:map03040
LOCMI17129	LOCMI17129	PREDICTED: pre-mRNA-splicing factor syf2-like	1	0.1	LOCMI17129	Spliceosome:map03040
LOCMI17126	LOCMI17126	B0X264_CULQU Lsm5 protein	1	0.1	LOCMI17126	Spliceosome:map03040
LOCMI17116	LOCMI17116	PREDICTED: survival of motor neuron-related-splicing factor 30-like	1	0.1	LOCMI17116	Spliceosome:map03040
LOCMI17113	LOCMI17113	Pre-mRNA-splicing factor SLU7	1	0.1	LOCMI17113	Spliceosome:map03040
LOCMI17058	LOCMI17058	E9J1R9_SOLIN Putative uncharacterized protein (Fragment)	1	0.1	LOCMI17058	Spliceosome:map03040
LOCMI17046	LOCMI17046	GJ23340	1	0.1	LOCMI17046	Pentose and glucuronate interconversions:map00040
LOCMI17032	LOCMI17032	UDP-glucuronosyltransferase 1-8 precursor, putative	1	0.1	LOCMI17032	Pentose and glucuronate interconversions:map00040
LOCMI16875	LOCMI16875	B6RHH4_LITVA Pyruvate kinase	1	0.1	LOCMI16875	Pyruvate metabolism:map00620
LOCMI16810	LOCMI16810	PREDICTED: pre-mRNA-splicing factor SPF27-like	1	0.1	LOCMI16810	Spliceosome:map03040
LOCMI16459	LOCMI16459	S-phase kinase-associated protein 1	1	0.1	LOCMI16459	Protein processing in endoplasmic reticulum:map04141
LOCMI15918	LOCMI15918	Probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial	1	0.1	LOCMI15918	Pyruvate metabolism:map00620
LOCMI15716	LOCMI15716	glutathione S-transferase sigma 1	1	0.1	LOCMI15716	Glutathione metabolism:map00480
LOCMI15707	LOCMI15707	glutathione S-transferase sigma 1	1	0.1	LOCMI15707	Glutathione metabolism:map00480
LOCMI15698	LOCMI15698	glutathione S-transferase sigma 3	1	0.1	LOCMI15698	Glutathione metabolism:map00480
LOCMI15512	LOCMI15512	heat shock protein 20.7	1	0.1	LOCMI15512	Protein processing in endoplasmic reticulum:map04141
LOCMI15491	LOCMI15491	endoplasmin	1	0.1	LOCMI15491	Protein processing in endoplasmic reticulum:map04141
LOCMI15442	LOCMI15442	Polyglutamine-binding protein, putative	1	0.1	LOCMI15442	Spliceosome:map03040
LOCMI15205	LOCMI15205	60S ribosomal protein L38	1	0.1	LOCMI15205	Ribosome:map03010
LOCMI15125	LOCMI15125	B4M0F9_DROVI GJ22583	1	0.1	LOCMI15125	Proteasome:map03050
LOCMI15070	LOCMI15070	putative aminopeptidase	1	0.1	LOCMI15070	Glutathione metabolism:map00480
LOCMI14819	LOCMI14819	mitochondrial ribosomal protein, L23	1	0.1	LOCMI14819	Ribosome:map03010
LOCMI14671	LOCMI14671	Q16KL0_AEDAE 26S protease regulatory subunit	1	0.1	LOCMI14671	Proteasome:map03050
LOCMI14621	LOCMI14621	syntaxin-6, putative	1	0.1	LOCMI14621	SNARE interactions in vesicular transport:map04130
LOCMI14553	LOCMI14553	thioredoxin/protein disulfide isomerase	1	0.1	LOCMI14553	Protein processing in endoplasmic reticulum:map04141
LOCMI14159	LOCMI14159	PREDICTED: syntaxin-8-like isoform 1	1	0.1	LOCMI14159	SNARE interactions in vesicular transport:map04130
LOCMI14132	LOCMI14132	AGAP011635-PA	1	0.1	LOCMI14132	Ribosome:map03010
LOCMI13842	LOCMI13842	GL15397	1	0.1	LOCMI13842	Ribosome:map03010
LOCMI13812	LOCMI13812	PREDICTED: l-xylulose reductase-like	1	0.1	LOCMI13812	Pentose and glucuronate interconversions:map00040
