GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI16491	LOCMI16491	HR3 isoform B2	LOCMI16491	GO:0043565	sequence-specific DNA binding
LOCMI16672	LOCMI16672	B0XBT4_CULQU Putative uncharacterized protein	LOCMI16672	GO:0043565	sequence-specific DNA binding
LOCMI15745	LOCMI15745	D2A2D2_TRICA Putative uncharacterized protein GLEAN_07831	LOCMI15745	GO:0043565	sequence-specific DNA binding
LOCMI16518	LOCMI16518	Ecdysone-inducible protein E75	LOCMI16518	GO:0043565	sequence-specific DNA binding
LOCMI03329	LOCMI03329	B3MXJ9_DROAN GF19436	LOCMI03329	GO:0050660	flavin adenine dinucleotide binding
LOCMI12984	LOCMI12984	B3NUX9_DROER GG19440	LOCMI12984	GO:0050660	flavin adenine dinucleotide binding
LOCMI03770	LOCMI03770	B3P2V7_DROER Glucose dehydrogenase	LOCMI03770	GO:0050660	flavin adenine dinucleotide binding
LOCMI02405	LOCMI02405	PREDICTED: glucose dehydrogenase	LOCMI02405	GO:0050660	flavin adenine dinucleotide binding
LOCMI16435	LOCMI16435	RecName: Full=Peptidoglycan-recognition protein 2; AltName: Full=Hd-PGRP-2; Flags: Precursor dbj|BAD08317.1| peptidoglycan recognition protein-2	LOCMI16435	GO:0005975	carbohydrate metabolic process
LOCMI11717	LOCMI11717	Q17H61_AEDAE Putative uncharacterized protein	LOCMI11717	GO:0005975	carbohydrate metabolic process
LOCMI03206	LOCMI03206	B3LWT2_DROAN GF16888	LOCMI03206	GO:0005975	carbohydrate metabolic process
LOCMI03536	LOCMI03536	B3N5F1_DROER GG23643	LOCMI03536	GO:0005975	carbohydrate metabolic process
LOCMI17185	LOCMI17185	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17185	GO:0005975	carbohydrate metabolic process
LOCMI03066	LOCMI03066	B0WKF5_CULQU Putative uncharacterized protein	LOCMI03066	GO:0005975	carbohydrate metabolic process
LOCMI12816	LOCMI12816	Heparan sulfate 2-O-sulfotransferase pipe, putative	LOCMI12816	GO:0005975	carbohydrate metabolic process
LOCMI10699	LOCMI10699	Sialidase	LOCMI10699	GO:0005975	carbohydrate metabolic process
LOCMI08032	LOCMI08032	B7P850_IXOSC Putative uncharacterized protein	LOCMI08032	GO:0005975	carbohydrate metabolic process
LOCMI16689	LOCMI16689	chitinase	LOCMI16689	GO:0005975	carbohydrate metabolic process
LOCMI15490	LOCMI15490	soluble trehalase	LOCMI15490	GO:0005975	carbohydrate metabolic process
LOCMI15975	LOCMI15975	PREDICTED: predicted protein-like	LOCMI15975	GO:0005975	carbohydrate metabolic process
LOCMI17048	LOCMI17048	chitinase 5 precursor	LOCMI17048	GO:0005975	carbohydrate metabolic process
LOCMI17170	LOCMI17170	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17170	GO:0005975	carbohydrate metabolic process
LOCMI01594	LOCMI01594	GJ10054	LOCMI01594	GO:0005975	carbohydrate metabolic process
LOCMI05942	LOCMI05942	PREDICTED: similar to lysosomal alpha-mannosidase (mannosidase alpha class 2b member 1)	LOCMI05942	GO:0005975	carbohydrate metabolic process
LOCMI15467	LOCMI15467	PREDICTED: chitooligosaccharidolytic beta-N-acetylglucosaminidase-like	LOCMI15467	GO:0005975	carbohydrate metabolic process
LOCMI02015	LOCMI02015	PREDICTED: chitinase-like protein Idgf4-like	LOCMI02015	GO:0005975	carbohydrate metabolic process
LOCMI13600	LOCMI13600	Q0Z939_TRICA Chitinase 10	LOCMI13600	GO:0005975	carbohydrate metabolic process
LOCMI17331	LOCMI17331	Q0Z942_TRICA Chitinase 7	LOCMI17331	GO:0005975	carbohydrate metabolic process
LOCMI17127	LOCMI17127	PREDICTED: chitinase-like protein Idgf4-like isoform 1	LOCMI17127	GO:0005975	carbohydrate metabolic process
LOCMI06775	LOCMI06775	beta-1,4-endoglucanase	LOCMI06775	GO:0005975	carbohydrate metabolic process
LOCMI16272	LOCMI16272	E9G105_DAPPU Putative uncharacterized protein	LOCMI16272	GO:0046906	tetrapyrrole binding
LOCMI16257	LOCMI16257	D6WCM3_TRICA Putative uncharacterized protein	LOCMI16257	GO:0046906	tetrapyrrole binding
LOCMI16264	LOCMI16264	PREDICTED: peroxidase-like isoform 1	LOCMI16264	GO:0046906	tetrapyrrole binding
LOCMI10884	LOCMI10884	Chorion peroxidase precursor, putative	LOCMI10884	GO:0046906	tetrapyrrole binding
LOCMI16195	LOCMI16195	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	LOCMI16195	GO:0046906	tetrapyrrole binding
LOCMI16136	LOCMI16136	Cytochrome P450 4g15	LOCMI16136	GO:0046906	tetrapyrrole binding
LOCMI16206	LOCMI16206	PREDICTED: similar to AGAP001039-PA	LOCMI16206	GO:0046906	tetrapyrrole binding
LOCMI16234	LOCMI16234	PREDICTED: cytochrome P450 315a1, mitochondrial isoform 2	LOCMI16234	GO:0046906	tetrapyrrole binding
LOCMI16221	LOCMI16221	GG20554	LOCMI16221	GO:0046906	tetrapyrrole binding
LOCMI16230	LOCMI16230	PREDICTED: similar to AGAP001039-PA	LOCMI16230	GO:0046906	tetrapyrrole binding
LOCMI16415	LOCMI16415	serine protease P43	LOCMI16415	GO:0017171	serine hydrolase activity
LOCMI13914	LOCMI13914	venom serine carboxypeptidase	LOCMI13914	GO:0017171	serine hydrolase activity
LOCMI13335	LOCMI13335	trypsin	LOCMI13335	GO:0017171	serine hydrolase activity
LOCMI16349	LOCMI16349	PREDICTED: similar to trypsin-like serine protease	LOCMI16349	GO:0017171	serine hydrolase activity
LOCMI03037	LOCMI03037	PREDICTED: atrial natriuretic peptide-converting enzyme-like	LOCMI03037	GO:0017171	serine hydrolase activity
LOCMI16469	LOCMI16469	trypsin-like serine protease	LOCMI16469	GO:0017171	serine hydrolase activity
LOCMI17170	LOCMI17170	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17170	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17185	LOCMI17185	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17185	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI16689	LOCMI16689	chitinase	LOCMI16689	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI02015	LOCMI02015	PREDICTED: chitinase-like protein Idgf4-like	LOCMI02015	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI03536	LOCMI03536	B3N5F1_DROER GG23643	LOCMI03536	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI05942	LOCMI05942	PREDICTED: similar to lysosomal alpha-mannosidase (mannosidase alpha class 2b member 1)	LOCMI05942	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI15490	LOCMI15490	soluble trehalase	LOCMI15490	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI13600	LOCMI13600	Q0Z939_TRICA Chitinase 10	LOCMI13600	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI15467	LOCMI15467	PREDICTED: chitooligosaccharidolytic beta-N-acetylglucosaminidase-like	LOCMI15467	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17331	LOCMI17331	Q0Z942_TRICA Chitinase 7	LOCMI17331	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17127	LOCMI17127	PREDICTED: chitinase-like protein Idgf4-like isoform 1	LOCMI17127	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17048	LOCMI17048	chitinase 5 precursor	LOCMI17048	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI06775	LOCMI06775	beta-1,4-endoglucanase	LOCMI06775	GO:0016798	hydrolase activity, acting on glycosyl bonds
