Ensembl	symbol	DOMAIN
LOCMI00208	LOCMI00208	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI10439	LOCMI10439	RNA polymerases, N/8kDa subunit:IPR000268
LOCMI16771	LOCMI16771	RNA recognition motif domain:IPR000504
LOCMI08702	LOCMI08702	NUDIX hydrolase domain:IPR000086
LOCMI04776	LOCMI04776	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme:IPR000277
LOCMI14004	LOCMI14004	Aminotransferase, class V/Cysteine desulfurase:IPR000192
LOCMI03203	LOCMI03203	Armadillo:IPR000225
LOCMI06735	LOCMI06735	AP endonuclease, family 1:IPR000097
LOCMI09659	LOCMI09659	Tubulin:IPR000217
LOCMI00208	LOCMI00208	Cytosolic fatty-acid binding:IPR000463
LOCMI10977	LOCMI10977	Cysteine-rich flanking region, C-terminal domain:IPR000483
LOCMI01686	LOCMI01686	Histone H2B:IPR000558
LOCMI03230	LOCMI03230	Ribonucleotide reductase:IPR000358
