Ensembl	symbol	KEGG
LOCMI11262	LOCMI11262	Biotin metabolism:map00780
LOCMI15049	LOCMI15049	beta-Alanine metabolism:map00410
LOCMI16063	LOCMI16063	Fructose and mannose metabolism:map00051
LOCMI13712	LOCMI13712	Aminoacyl-tRNA biosynthesis:map00970
LOCMI15911	LOCMI15911	Oxidative phosphorylation:map00190
LOCMI15795	LOCMI15795	Oxidative phosphorylation:map00190
LOCMI16044	LOCMI16044	Oxidative phosphorylation:map00190
LOCMI17035	LOCMI17035	Drug metabolism - cytochrome P450:map00982
LOCMI16061	LOCMI16061	Cysteine and methionine metabolism:map00270
LOCMI09044	LOCMI09044	Cysteine and methionine metabolism:map00270
LOCMI17048	LOCMI17048	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI00063	LOCMI00063	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI17331	LOCMI17331	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI07978	LOCMI07978	Protein processing in endoplasmic reticulum:map04141
LOCMI16406	LOCMI16406	Protein processing in endoplasmic reticulum:map04141
LOCMI05827	LOCMI05827	Protein processing in endoplasmic reticulum:map04141
LOCMI00178	LOCMI00178	Protein processing in endoplasmic reticulum:map04141
LOCMI06498	LOCMI06498	Ribosome:map03010
LOCMI01110	LOCMI01110	Ribosome:map03010
LOCMI08050	LOCMI08050	Ribosome:map03010
LOCMI01469	LOCMI01469	Ribosome:map03010
LOCMI06694	LOCMI06694	Ribosome:map03010
LOCMI11496	LOCMI11496	Ribosome:map03010
LOCMI17035	LOCMI17035	Pentose and glucuronate interconversions:map00040
LOCMI00063	LOCMI00063	Pentose and glucuronate interconversions:map00040
LOCMI04504	LOCMI04504	Mucin type O-glycan biosynthesis:map00512
LOCMI07451	LOCMI07451	Terpenoid backbone biosynthesis:map00900
LOCMI16061	LOCMI16061	Propanoate metabolism:map00640
LOCMI08549	LOCMI08549	Lysine biosynthesis:map00300
LOCMI17160	LOCMI17160	Phosphatidylinositol signaling system:map04070
LOCMI12774	LOCMI12774	Hippo signaling pathway -fly:map04391
LOCMI16321	LOCMI16321	Hippo signaling pathway -fly:map04391
LOCMI07503	LOCMI07503	Hippo signaling pathway -fly:map04391
LOCMI01353	LOCMI01353	Hippo signaling pathway -fly:map04391
LOCMI04519	LOCMI04519	Lysine degradation:map00310
LOCMI00662	LOCMI00662	Lysine degradation:map00310
LOCMI13709	LOCMI13709	Endocytosis:map04144
LOCMI04609	LOCMI04609	Endocytosis:map04144
LOCMI12573	LOCMI12573	Endocytosis:map04144
LOCMI09110	LOCMI09110	One carbon pool by folate:map00670
LOCMI15746	LOCMI15746	MAPK signaling pathway - fly:map04013
LOCMI15745	LOCMI15745	MAPK signaling pathway - fly:map04013
LOCMI15758	LOCMI15758	MAPK signaling pathway - fly:map04013
LOCMI15757	LOCMI15757	MAPK signaling pathway - fly:map04013
LOCMI17232	LOCMI17232	Lysosome:map04142
LOCMI15797	LOCMI15797	Lysosome:map04142
LOCMI06145	LOCMI06145	Ribosome biogenesis in eukaryotes:map03008
LOCMI08638	LOCMI08638	Nitrogen metabolism:map00910
LOCMI16672	LOCMI16672	Circadian rhythm - fly:map04711
LOCMI15989	LOCMI15989	Citrate cycle (TCA cycle):map00020
LOCMI15879	LOCMI15879	Citrate cycle (TCA cycle):map00020
LOCMI09995	LOCMI09995	Citrate cycle (TCA cycle):map00020
LOCMI15947	LOCMI15947	Citrate cycle (TCA cycle):map00020
LOCMI07978	LOCMI07978	Ubiquitin mediated proteolysis:map04120
LOCMI05987	LOCMI05987	Ubiquitin mediated proteolysis:map04120
LOCMI16397	LOCMI16397	Phenylalanine, tyrosine and tryptophan biosynthesis:map00400
LOCMI15797	LOCMI15797	Sphingolipid metabolism:map00600
LOCMI15773	LOCMI15773	Sphingolipid metabolism:map00600
LOCMI17086	LOCMI17086	Spliceosome:map03040
LOCMI17344	LOCMI17344	Spliceosome:map03040
LOCMI16550	LOCMI16550	Spliceosome:map03040
LOCMI17068	LOCMI17068	Spliceosome:map03040
LOCMI16631	LOCMI16631	Spliceosome:map03040
LOCMI00063	LOCMI00063	Galactose metabolism:map00052
LOCMI03316	LOCMI03316	ECM-receptor interaction:map04512
LOCMI02653	LOCMI02653	ECM-receptor interaction:map04512
LOCMI10699	LOCMI10699	ECM-receptor interaction:map04512
LOCMI16124	LOCMI16124	Insect hormone biosynthesis:map00981
LOCMI15548	LOCMI15548	Insect hormone biosynthesis:map00981
LOCMI15745	LOCMI15745	Dorso-ventral axis formation:map04320
LOCMI15757	LOCMI15757	Dorso-ventral axis formation:map04320
LOCMI09783	LOCMI09783	Peroxisome:map04146
LOCMI04868	LOCMI04868	Peroxisome:map04146
LOCMI13447	LOCMI13447	Inositol phosphate metabolism:map00562
LOCMI13444	LOCMI13444	Inositol phosphate metabolism:map00562
LOCMI13445	LOCMI13445	Inositol phosphate metabolism:map00562
LOCMI17160	LOCMI17160	Inositol phosphate metabolism:map00562
LOCMI13448	LOCMI13448	Inositol phosphate metabolism:map00562
LOCMI17035	LOCMI17035	Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI17136	LOCMI17136	Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI08630	LOCMI08630	Pyrimidine metabolism:map00240
LOCMI10663	LOCMI10663	Pyrimidine metabolism:map00240
LOCMI15049	LOCMI15049	Pyrimidine metabolism:map00240
LOCMI05985	LOCMI05985	Pyrimidine metabolism:map00240
LOCMI01328	LOCMI01328	Pyrimidine metabolism:map00240
LOCMI08638	LOCMI08638	Alanine, aspartate and glutamate metabolism:map00250
LOCMI15994	LOCMI15994	Glycolysis / Gluconeogenesis:map00010
LOCMI16063	LOCMI16063	Glycolysis / Gluconeogenesis:map00010
LOCMI16061	LOCMI16061	Glycolysis / Gluconeogenesis:map00010
LOCMI15879	LOCMI15879	Glycolysis / Gluconeogenesis:map00010
LOCMI15924	LOCMI15924	Glycolysis / Gluconeogenesis:map00010
LOCMI09995	LOCMI09995	Glycolysis / Gluconeogenesis:map00010
LOCMI15989	LOCMI15989	2-Oxocarboxylic acid metabolism:map01210
LOCMI12891	LOCMI12891	Glutathione metabolism:map00480
LOCMI16260	LOCMI16260	Glutathione metabolism:map00480
LOCMI15975	LOCMI15975	Glutathione metabolism:map00480
LOCMI08190	LOCMI08190	Protein export:map03060
LOCMI15906	LOCMI15906	Synthesis and degradation of ketone bodies:map00072
LOCMI09548	LOCMI09548	Jak-STAT signaling pathway:map04630
LOCMI15746	LOCMI15746	Jak-STAT signaling pathway:map04630
LOCMI16328	LOCMI16328	Jak-STAT signaling pathway:map04630
LOCMI06714	LOCMI06714	Regulation of autophagy:map04140
LOCMI10574	LOCMI10574	Histidine metabolism:map00340
LOCMI17035	LOCMI17035	Drug metabolism - other enzymes:map00983
LOCMI15049	LOCMI15049	Drug metabolism - other enzymes:map00983
LOCMI17035	LOCMI17035	Porphyrin and chlorophyll metabolism:map00860
LOCMI17073	LOCMI17073	Tryptophan metabolism:map00380
LOCMI10574	LOCMI10574	Tryptophan metabolism:map00380
LOCMI15906	LOCMI15906	Butanoate metabolism:map00650
LOCMI15994	LOCMI15994	Carbon metabolism:map01200
LOCMI16063	LOCMI16063	Carbon metabolism:map01200
LOCMI07298	LOCMI07298	Carbon metabolism:map01200
LOCMI15989	LOCMI15989	Carbon metabolism:map01200
LOCMI15879	LOCMI15879	Carbon metabolism:map01200
LOCMI15924	LOCMI15924	Carbon metabolism:map01200
LOCMI09995	LOCMI09995	Carbon metabolism:map01200
LOCMI15947	LOCMI15947	Carbon metabolism:map01200
LOCMI15975	LOCMI15975	Carbon metabolism:map01200
LOCMI08702	LOCMI08702	Purine metabolism:map00230
LOCMI03761	LOCMI03761	Purine metabolism:map00230
LOCMI08630	LOCMI08630	Purine metabolism:map00230
LOCMI10140	LOCMI10140	Purine metabolism:map00230
LOCMI15994	LOCMI15994	Purine metabolism:map00230
LOCMI10663	LOCMI10663	Purine metabolism:map00230
LOCMI09110	LOCMI09110	Purine metabolism:map00230
